question,symbol,target_price,direction,price_at_entry,vol,prob_predicted,actual_outcome,brier,volume,end_date,entry_days_before,already_hit
"Will the price of Bitcoin be above $108,000 on October 31?",BTC,108000.0,above,111042.13,0.4108,0.6199,1.0,0.1445,336596.22,2025-10-31,7,True
"Will the price of Bitcoin be above $110,000 on October 31?",BTC,110000.0,above,111042.13,0.4108,0.5187,1.0,0.2316,686395.64,2025-10-31,7,True
"Will the price of Bitcoin be above $112,000 on October 31?",BTC,112000.0,above,111042.13,0.4108,0.4137,0.0,0.1711,334371.8,2025-10-31,7,False
"Will the price of Bitcoin be above $114,000 on October 31?",BTC,114000.0,above,111042.13,0.4108,0.3263,0.0,0.1065,258382.09,2025-10-31,7,False
"Will the price of Bitcoin be above $116,000 on October 31?",BTC,116000.0,above,111042.13,0.4108,0.2541,0.0,0.0645,160681.98,2025-10-31,7,False
"Will the price of Bitcoin be above $118,000 on October 31?",BTC,118000.0,above,111042.13,0.4108,0.1949,0.0,0.038,122599.11,2025-10-31,7,False
"Will the price of Bitcoin be above $120,000 on October 31?",BTC,120000.0,above,111042.13,0.4108,0.147,0.0,0.0216,105315.48,2025-10-31,7,False
"Ethereum above $3,300 on January 17?",ETH,3300.0,above,3266.53,0.6848,0.4027,1.0,0.3568,3126776.07,2025-01-17,7,False
"Will the price of Bitcoin be above $82,000 on January 11?",BTC,82000.0,above,91494.0,0.4614,0.8678,1.0,0.0175,173379.18,2026-01-11,7,True
"Will the price of Bitcoin be above $84,000 on January 11?",BTC,84000.0,above,91494.0,0.4614,0.8093,1.0,0.0364,287161.82,2026-01-11,7,True
"Will the price of Bitcoin be above $86,000 on January 11?",BTC,86000.0,above,91494.0,0.4614,0.7363,1.0,0.0696,483275.38,2026-01-11,7,True
"Will the price of Bitcoin be above $88,000 on January 11?",BTC,88000.0,above,91494.0,0.4614,0.6477,1.0,0.1241,503938.83,2026-01-11,7,True
"Will the price of Bitcoin be above $90,000 on January 11?",BTC,90000.0,above,91494.0,0.4614,0.5423,1.0,0.2095,345960.35,2026-01-11,7,True
"Will the price of Bitcoin be above $92,000 on January 11?",BTC,92000.0,above,91494.0,0.4614,0.4269,0.0,0.1823,533626.86,2026-01-11,7,False
"Will the price of Bitcoin be above $94,000 on January 11?",BTC,94000.0,above,91494.0,0.4614,0.3308,0.0,0.1094,339818.45,2026-01-11,7,False
"Will the price of Bitcoin be above $96,000 on January 11?",BTC,96000.0,above,91494.0,0.4614,0.2527,0.0,0.0639,190218.16,2026-01-11,7,False
"Will the price of Bitcoin be above $98,000 on January 11?",BTC,98000.0,above,91494.0,0.4614,0.1898,0.0,0.036,115535.8,2026-01-11,7,False
"Will the price of Bitcoin be above $100,000 on January 11?",BTC,100000.0,above,91494.0,0.4614,0.1399,0.0,0.0196,121380.02,2026-01-11,7,False
"Will the price of Bitcoin be above $102,000 on January 11?",BTC,102000.0,above,91494.0,0.4614,0.1012,0.0,0.0102,29433.11,2026-01-11,7,False
"Will the price of Bitcoin be above $92,000 on November 19?",BTC,92000.0,above,101639.01,0.4414,0.836,0.0,0.6989,871949.73,2025-11-19,7,True
"Will the price of Bitcoin be above $102,000 on November 19?",BTC,102000.0,above,101639.01,0.4414,0.3952,0.0,0.1561,82038.18,2025-11-19,7,False
"Will the price of Bitcoin be above $104,000 on November 19?",BTC,104000.0,above,101639.01,0.4414,0.3091,0.0,0.0955,257472.08,2025-11-19,7,False
"Will the price of Bitcoin be above $108,000 on November 19?",BTC,108000.0,above,101639.01,0.4414,0.181,0.0,0.0328,114255.4,2025-11-19,7,False
"Will the price of Bitcoin be above $110,000 on November 19?",BTC,110000.0,above,101639.01,0.4414,0.1351,0.0,0.0183,77272.01,2025-11-19,7,False
"Will the price of Bitcoin be above $94,000 on November 19?",BTC,94000.0,above,101639.01,0.4414,0.7733,0.0,0.598,556130.71,2025-11-19,7,True
"Will the price of Bitcoin be above $96,000 on November 19?",BTC,96000.0,above,101639.01,0.4414,0.6971,0.0,0.4859,475927.54,2025-11-19,7,True
"Will the price of Bitcoin be above $98,000 on November 19?",BTC,98000.0,above,101639.01,0.4414,0.6064,0.0,0.3677,333188.2,2025-11-19,7,True
"Will the price of Bitcoin be above $100,000 on November 19?",BTC,100000.0,above,101639.01,0.4414,0.4998,0.0,0.2498,199925.16,2025-11-19,7,True
"Will the price of Bitcoin be above $106,000 on November 19?",BTC,106000.0,above,101639.01,0.4414,0.2384,0.0,0.0568,71139.53,2025-11-19,7,False
"Will the price of Bitcoin be above $112,000 on November 19?",BTC,112000.0,above,101639.01,0.4414,0.099,0.0,0.0098,76784.41,2025-11-19,7,False
Will XRP reach $3.50 in May?,XRP,3.5,above,2.33,1.0141,0.0214,0.0,0.0005,656984.03,2025-05-31,7,False
Will XRP reach $3.00 in May?,XRP,3.0,above,2.33,1.0141,0.0883,0.0,0.0078,464880.38,2025-05-31,7,False
Will XRP reach $2.80 in May?,XRP,2.8,above,2.33,1.0141,0.1483,0.0,0.022,326151.02,2025-05-31,7,False
Will XRP reach $2.60 in May?,XRP,2.6,above,2.33,1.0141,0.2414,1.0,0.5754,50777.11,2025-05-31,7,False
Will XRP reach $2.50 in May?,XRP,2.5,above,2.33,1.0141,0.3047,1.0,0.4834,46098.85,2025-05-31,7,False
Will XRP reach $2.40 in May?,XRP,2.4,above,2.33,1.0141,0.3821,1.0,0.3818,15992.54,2025-05-31,7,False
Will XRP reach $2.30 in May?,XRP,2.3,above,2.33,1.0141,0.4771,1.0,0.2734,32279.45,2025-05-31,7,True
Will XRP dip to $2.10 in May?,XRP,2.1,below,2.33,1.0141,0.3243,1.0,0.4565,21063.36,2025-05-31,7,False
Will XRP dip to $2.00 in May?,XRP,2.0,below,2.33,1.0141,0.2436,0.0,0.0593,599032.7,2025-05-31,7,False
Will XRP dip to $1.50 in May?,XRP,1.5,below,2.33,1.0141,0.024,0.0,0.0006,262907.06,2025-05-31,7,False
Will XRP dip to $1.90 in May?,XRP,1.9,below,2.33,1.0141,0.1752,0.0,0.0307,376042.36,2025-05-31,7,False
Will XRP dip to $1.00 in May?,XRP,1.0,below,2.33,1.0141,0.0001,0.0,0.0,262180.43,2025-05-31,7,False
"Will the price of Bitcoin be above $92,000 on November 15?",BTC,92000.0,above,102285.57,0.4547,0.8391,1.0,0.0259,321396.1,2025-11-15,7,True
"Will the price of Bitcoin be above $96,000 on November 15?",BTC,96000.0,above,102285.57,0.4547,0.7067,1.0,0.086,799884.44,2025-11-15,7,True
"Will the price of Bitcoin be above $98,000 on November 15?",BTC,98000.0,above,102285.57,0.4547,0.6209,0.0,0.3855,516430.5,2025-11-15,7,True
"Will the price of Bitcoin be above $100,000 on November 15?",BTC,100000.0,above,102285.57,0.4547,0.5204,0.0,0.2708,338440.84,2025-11-15,7,True
"Will the price of Bitcoin be above $104,000 on November 15?",BTC,104000.0,above,102285.57,0.4547,0.3289,0.0,0.1081,157320.85,2025-11-15,7,False
"Will the price of Bitcoin be above $106,000 on November 15?",BTC,106000.0,above,102285.57,0.4547,0.2569,0.0,0.066,157418.99,2025-11-15,7,False
"Will the price of Bitcoin be above $108,000 on November 15?",BTC,108000.0,above,102285.57,0.4547,0.1979,0.0,0.0391,77555.2,2025-11-15,7,False
"Will the price of Bitcoin be above $110,000 on November 15?",BTC,110000.0,above,102285.57,0.4547,0.15,0.0,0.0225,55854.95,2025-11-15,7,False
"Will the price of Bitcoin be above $94,000 on November 15?",BTC,94000.0,above,102285.57,0.4547,0.7792,1.0,0.0487,364861.6,2025-11-15,7,True
"Will the price of Bitcoin be above $102,000 on November 15?",BTC,102000.0,above,102285.57,0.4547,0.4159,0.0,0.173,222307.67,2025-11-15,7,True
"Will the price of Bitcoin be above $112,000 on November 15?",BTC,112000.0,above,102285.57,0.4547,0.1119,0.0,0.0125,93493.3,2025-11-15,7,False
"Will the price of Bitcoin be above $102,000 on November 8?",BTC,102000.0,above,110052.25,0.43,0.7864,0.0,0.6185,1090357.85,2025-11-08,7,True
"Will the price of Bitcoin be above $106,000 on November 8?",BTC,106000.0,above,110052.25,0.43,0.636,0.0,0.4044,336909.82,2025-11-08,7,True
"Will the price of Bitcoin be above $100,000 on November 8?",BTC,100000.0,above,110052.25,0.43,0.8435,1.0,0.0245,379126.9,2025-11-08,7,True
"Will the price of Bitcoin be above $104,000 on November 8?",BTC,104000.0,above,110052.25,0.43,0.7175,0.0,0.5148,571635.2,2025-11-08,7,True
"Will the price of Bitcoin be above $108,000 on November 8?",BTC,108000.0,above,110052.25,0.43,0.5407,0.0,0.2923,135740.22,2025-11-08,7,True
"Will the price of Bitcoin be above $110,000 on November 8?",BTC,110000.0,above,110052.25,0.43,0.4367,0.0,0.1907,123348.72,2025-11-08,7,True
"Will the price of Bitcoin be above $112,000 on November 8?",BTC,112000.0,above,110052.25,0.43,0.348,0.0,0.1211,135479.14,2025-11-08,7,False
"Will the price of Bitcoin be above $114,000 on November 8?",BTC,114000.0,above,110052.25,0.43,0.2742,0.0,0.0752,88236.93,2025-11-08,7,False
"Will the price of Bitcoin be above $116,000 on November 8?",BTC,116000.0,above,110052.25,0.43,0.2132,0.0,0.0454,106989.14,2025-11-08,7,False
"Will the price of Bitcoin be above $118,000 on November 8?",BTC,118000.0,above,110052.25,0.43,0.1633,0.0,0.0267,52223.53,2025-11-08,7,False
"Will the price of Bitcoin be above $120,000 on November 8?",BTC,120000.0,above,110052.25,0.43,0.1231,0.0,0.0152,80141.26,2025-11-08,7,False
"Will the price of Bitcoin be above $76,000 on December 24?",BTC,76000.0,above,86209.77,0.5265,0.8574,1.0,0.0203,123275.41,2025-12-24,7,True
"Will the price of Bitcoin be above $78,000 on December 24?",BTC,78000.0,above,86209.77,0.5265,0.7997,1.0,0.0401,259403.17,2025-12-24,7,True
"Will the price of Bitcoin be above $80,000 on December 24?",BTC,80000.0,above,86209.77,0.5265,0.729,1.0,0.0735,104495.53,2025-12-24,7,True
"Will the price of Bitcoin be above $82,000 on December 24?",BTC,82000.0,above,86209.77,0.5265,0.6446,1.0,0.1263,249993.93,2025-12-24,7,True
"Will the price of Bitcoin be above $84,000 on December 24?",BTC,84000.0,above,86209.77,0.5265,0.5455,1.0,0.2066,318994.68,2025-12-24,7,True
"Will the price of Bitcoin be above $86,000 on December 24?",BTC,86000.0,above,86209.77,0.5265,0.4367,1.0,0.3173,478082.27,2025-12-24,7,True
"Will the price of Bitcoin be above $88,000 on December 24?",BTC,88000.0,above,86209.77,0.5265,0.3446,0.0,0.1187,489016.33,2025-12-24,7,False
"Will the price of Bitcoin be above $90,000 on December 24?",BTC,90000.0,above,86209.77,0.5265,0.2689,0.0,0.0723,345463.65,2025-12-24,7,False
"Will the price of Bitcoin be above $92,000 on December 24?",BTC,92000.0,above,86209.77,0.5265,0.207,0.0,0.0428,369841.84,2025-12-24,7,False
"Will the price of Bitcoin be above $94,000 on December 24?",BTC,94000.0,above,86209.77,0.5265,0.157,0.0,0.0246,179554.82,2025-12-24,7,False
"Will the price of Bitcoin be above $96,000 on December 24?",BTC,96000.0,above,86209.77,0.5265,0.1172,0.0,0.0137,180926.81,2025-12-24,7,False
"Ethereum above $3,900 on December 20?",ETH,3900.0,above,3907.87,0.6954,0.5325,0.0,0.2836,3094225.1,2024-12-20,7,True
"Bitcoin above $99,000 on February 28?",BTC,99000.0,above,96157.03,0.5254,0.3283,0.0,0.1078,3092734.61,2025-02-28,7,False
"Will the price of Bitcoin be above $84,000 on December 23?",BTC,84000.0,above,87854.01,0.5175,0.6254,1.0,0.1403,294357.64,2025-12-23,7,True
"Will the price of Bitcoin be above $86,000 on December 23?",BTC,86000.0,above,87854.01,0.5175,0.5233,1.0,0.2273,379633.89,2025-12-23,7,True
"Will the price of Bitcoin be above $88,000 on December 23?",BTC,88000.0,above,87854.01,0.5175,0.4165,1.0,0.3404,721585.01,2025-12-23,7,False
"Will the price of Bitcoin be above $90,000 on December 23?",BTC,90000.0,above,87854.01,0.5175,0.3281,0.0,0.1076,265148.13,2025-12-23,7,False
"Will the price of Bitcoin be above $92,000 on December 23?",BTC,92000.0,above,87854.01,0.5175,0.2553,0.0,0.0652,223415.19,2025-12-23,7,False
"Will the price of Bitcoin be above $94,000 on December 23?",BTC,94000.0,above,87854.01,0.5175,0.196,0.0,0.0384,272011.75,2025-12-23,7,False
"Will the price of Bitcoin be above $96,000 on December 23?",BTC,96000.0,above,87854.01,0.5175,0.1482,0.0,0.0219,134168.53,2025-12-23,7,False
"Will the price of Bitcoin be above $98,000 on December 23?",BTC,98000.0,above,87854.01,0.5175,0.1102,0.0,0.0122,121125.74,2025-12-23,7,False
"Will the price of Bitcoin be above $78,000 on December 23?",BTC,78000.0,above,87854.01,0.5175,0.8462,1.0,0.0237,187516.21,2025-12-23,7,True
"Will the price of Bitcoin be above $80,000 on December 23?",BTC,80000.0,above,87854.01,0.5175,0.7859,1.0,0.0458,312654.29,2025-12-23,7,True
"Will the price of Bitcoin be above $82,000 on December 23?",BTC,82000.0,above,87854.01,0.5175,0.7126,1.0,0.0826,174630.21,2025-12-23,7,True
Will Bitcoin dip below $100k before 2026?,BTC,100000.0,below,87609.03,0.4618,0.9341,1.0,0.0043,3077937.06,2025-12-31,7,True
"Will the price of Bitcoin be above $106,000 on October 20?",BTC,106000.0,above,115274.03,0.3316,0.8891,1.0,0.0123,149305.24,2025-10-20,7,True
"Will the price of Bitcoin be above $108,000 on October 20?",BTC,108000.0,above,115274.03,0.3316,0.8327,1.0,0.028,190113.83,2025-10-20,7,True
"Will the price of Bitcoin be above $110,000 on October 20?",BTC,110000.0,above,115274.03,0.3316,0.7594,1.0,0.0579,331117.24,2025-10-20,7,True
"Will the price of Bitcoin be above $116,000 on October 20?",BTC,116000.0,above,115274.03,0.3316,0.4291,0.0,0.1841,497504.6,2025-10-20,7,False
"Will the price of Bitcoin be above $118,000 on October 20?",BTC,118000.0,above,115274.03,0.3316,0.3234,0.0,0.1046,127644.78,2025-10-20,7,False
"Will the price of Bitcoin be above $120,000 on October 20?",BTC,120000.0,above,115274.03,0.3316,0.2389,0.0,0.0571,488897.38,2025-10-20,7,False
"Will the price of Bitcoin be above $122,000 on October 20?",BTC,122000.0,above,115274.03,0.3316,0.1724,0.0,0.0297,401672.05,2025-10-20,7,False
"Will the price of Bitcoin be above $124,000 on October 20?",BTC,124000.0,above,115274.03,0.3316,0.1212,0.0,0.0147,207837.99,2025-10-20,7,False
"Will the price of Bitcoin be above $104,000 on October 20?",BTC,104000.0,above,115274.03,0.3316,0.9304,1.0,0.0048,177101.55,2025-10-20,7,True
"Will the price of Bitcoin be above $112,000 on October 20?",BTC,112000.0,above,115274.03,0.3316,0.6677,0.0,0.4459,327715.33,2025-10-20,7,True
"Will the price of Bitcoin be above $114,000 on October 20?",BTC,114000.0,above,115274.03,0.3316,0.5558,0.0,0.3089,169427.44,2025-10-20,7,True
"Will the price of Ethereum be above $4,000 on October 14?",ETH,4000.0,above,4449.8,0.6129,0.8196,1.0,0.0326,192434.9,2025-10-14,7,True
"Will the price of Ethereum be above $4,100 on October 14?",ETH,4100.0,above,4449.8,0.6129,0.7654,0.0,0.5858,276975.95,2025-10-14,7,True
"Will the price of Ethereum be above $4,200 on October 14?",ETH,4200.0,above,4449.8,0.6129,0.7022,0.0,0.4931,143306.59,2025-10-14,7,True
"Will the price of Ethereum be above $4,300 on October 14?",ETH,4300.0,above,4449.8,0.6129,0.6298,0.0,0.3966,50295.5,2025-10-14,7,True
"Will the price of Ethereum be above $4,400 on October 14?",ETH,4400.0,above,4449.8,0.6129,0.5476,0.0,0.2998,32415.48,2025-10-14,7,True
"Will the price of Ethereum be above $4,500 on October 14?",ETH,4500.0,above,4449.8,0.6129,0.4575,0.0,0.2093,58668.08,2025-10-14,7,False
"Will the price of Ethereum be above $4,600 on October 14?",ETH,4600.0,above,4449.8,0.6129,0.378,0.0,0.1429,20743.26,2025-10-14,7,False
"Will the price of Ethereum be above $4,700 on October 14?",ETH,4700.0,above,4449.8,0.6129,0.3104,0.0,0.0963,576682.3,2025-10-14,7,False
"Will the price of Ethereum be above $4,800 on October 14?",ETH,4800.0,above,4449.8,0.6129,0.2529,0.0,0.064,493383.73,2025-10-14,7,False
"Will the price of Ethereum be above $4,900 on October 14?",ETH,4900.0,above,4449.8,0.6129,0.2044,0.0,0.0418,371903.03,2025-10-14,7,False
"Will the price of Ethereum be above $5,000 on October 14?",ETH,5000.0,above,4449.8,0.6129,0.1636,0.0,0.0268,850425.64,2025-10-14,7,False
Will the price of Solana be above $190 on October 13?,SOL,190.0,above,232.45,0.7089,0.9249,1.0,0.0056,71703.47,2025-10-13,7,True
Will the price of Solana be above $200 on October 13?,SOL,200.0,above,232.45,0.7089,0.8672,0.0,0.752,59171.13,2025-10-13,7,True
Will the price of Solana be above $210 on October 13?,SOL,210.0,above,232.45,0.7089,0.7865,0.0,0.6186,68231.93,2025-10-13,7,True
Will the price of Solana be above $220 on October 13?,SOL,220.0,above,232.45,0.7089,0.6818,0.0,0.4648,42830.73,2025-10-13,7,True
Will the price of Solana be above $230 on October 13?,SOL,230.0,above,232.45,0.7089,0.5516,0.0,0.3043,47539.89,2025-10-13,7,True
Will the price of Solana be above $240 on October 13?,SOL,240.0,above,232.45,0.7089,0.4082,0.0,0.1667,63405.5,2025-10-13,7,False
Will the price of Solana be above $250 on October 13?,SOL,250.0,above,232.45,0.7089,0.2958,0.0,0.0875,124338.68,2025-10-13,7,False
Will the price of Solana be above $260 on October 13?,SOL,260.0,above,232.45,0.7089,0.2103,0.0,0.0442,146519.39,2025-10-13,7,False
Will the price of Solana be above $270 on October 13?,SOL,270.0,above,232.45,0.7089,0.1463,0.0,0.0214,237010.14,2025-10-13,7,False
Will the price of Solana be above $280 on October 13?,SOL,280.0,above,232.45,0.7089,0.0994,0.0,0.0099,1116047.07,2025-10-13,7,False
Will the price of Solana be above $290 on October 13?,SOL,290.0,above,232.45,0.7089,0.066,0.0,0.0044,1084586.17,2025-10-13,7,False
Bitcoin above $112K on August 25?,BTC,112000.0,above,116286.76,0.3253,0.7244,1.0,0.076,1011342.51,2025-08-25,7,True
Bitcoin above $114K on August 25?,BTC,114000.0,above,116286.76,0.3253,0.6238,0.0,0.3891,558852.1,2025-08-25,7,True
Bitcoin above $116K on August 25?,BTC,116000.0,above,116286.76,0.3253,0.5013,0.0,0.2513,543450.0,2025-08-25,7,True
Bitcoin above $118K on August 25?,BTC,118000.0,above,116286.76,0.3253,0.3803,0.0,0.1446,280222.57,2025-08-25,7,False
Bitcoin above $120K on August 25?,BTC,120000.0,above,116286.76,0.3253,0.2835,0.0,0.0804,214465.31,2025-08-25,7,False
Bitcoin above $110K on August 25?,BTC,110000.0,above,116286.76,0.3253,0.8056,1.0,0.0378,442676.75,2025-08-25,7,True
Will Solana hit $200 in December?,SOL,200.0,above,197.31,0.9225,0.3932,1.0,0.3682,600394.79,2025-01-01,7,False
Will Solana hit $240 in December?,SOL,240.0,above,197.31,0.9225,0.1099,1.0,0.7923,24142.06,2025-01-01,7,False
Will Solana hit $210 in December?,SOL,210.0,above,197.31,0.9225,0.2918,1.0,0.5015,170732.55,2025-01-01,7,False
Will Solana hit $300 in December?,SOL,300.0,above,197.31,0.9225,0.0107,0.0,0.0001,589889.3,2025-01-01,7,False
Will Solana hit $270 in December?,SOL,270.0,above,197.31,0.9225,0.0363,0.0,0.0013,445426.27,2025-01-01,7,False
Will Solana hit $260 in December?,SOL,260.0,above,197.31,0.9225,0.0532,0.0,0.0028,470106.34,2025-01-01,7,False
Will Solana hit $250 in December?,SOL,250.0,above,197.31,0.9225,0.077,0.0,0.0059,743162.81,2025-01-01,7,False
"Ethereum above $4,000 on December 13?",ETH,4000.0,above,4004.83,0.7296,0.525,0.0,0.2757,3017442.34,2024-12-13,7,True
Will the price of Solana be above $160 on October 17?,SOL,160.0,above,188.82,0.7274,0.8456,1.0,0.0238,72114.82,2025-10-17,7,True
Will the price of Solana be above $170 on October 17?,SOL,170.0,above,188.82,0.7274,0.7337,1.0,0.0709,118643.92,2025-10-17,7,True
Will the price of Solana be above $180 on October 17?,SOL,180.0,above,188.82,0.7274,0.5843,1.0,0.1728,375968.65,2025-10-17,7,True
Will the price of Solana be above $190 on October 17?,SOL,190.0,above,188.82,0.7274,0.4084,0.0,0.1668,92425.83,2025-10-17,7,False
Will the price of Solana be above $200 on October 17?,SOL,200.0,above,188.82,0.7274,0.274,0.0,0.0751,52999.29,2025-10-17,7,False
Will the price of Solana be above $210 on October 17?,SOL,210.0,above,188.82,0.7274,0.1786,0.0,0.0319,237598.02,2025-10-17,7,False
Will the price of Solana be above $220 on October 17?,SOL,220.0,above,188.82,0.7274,0.1125,0.0,0.0127,203924.39,2025-10-17,7,False
Will the price of Solana be above $230 on October 17?,SOL,230.0,above,188.82,0.7274,0.0685,0.0,0.0047,65853.03,2025-10-17,7,False
Will the price of Solana be above $240 on October 17?,SOL,240.0,above,188.82,0.7274,0.0404,0.0,0.0016,290294.1,2025-10-17,7,False
Will the price of Solana be above $250 on October 17?,SOL,250.0,above,188.82,0.7274,0.0231,0.0,0.0005,363716.93,2025-10-17,7,False
Will the price of Solana be above $260 on October 17?,SOL,260.0,above,188.82,0.7274,0.0128,0.0,0.0002,1138722.04,2025-10-17,7,False
"Will the price of Bitcoin be above $78,000 on December 30?",BTC,78000.0,above,87429.32,0.4703,0.8724,1.0,0.0163,281653.43,2025-12-30,7,True
"Will the price of Bitcoin be above $80,000 on December 30?",BTC,80000.0,above,87429.32,0.4703,0.8133,1.0,0.0348,205995.15,2025-12-30,7,True
"Will the price of Bitcoin be above $98,000 on December 30?",BTC,98000.0,above,87429.32,0.4703,0.0953,0.0,0.0091,94435.87,2025-12-30,7,False
"Will the price of Bitcoin be above $82,000 on December 30?",BTC,82000.0,above,87429.32,0.4703,0.739,1.0,0.0681,153210.97,2025-12-30,7,True
"Will the price of Bitcoin be above $84,000 on December 30?",BTC,84000.0,above,87429.32,0.4703,0.6482,1.0,0.1237,336527.51,2025-12-30,7,True
"Will the price of Bitcoin be above $86,000 on December 30?",BTC,86000.0,above,87429.32,0.4703,0.5398,1.0,0.2118,355243.42,2025-12-30,7,True
"Will the price of Bitcoin be above $88,000 on December 30?",BTC,88000.0,above,87429.32,0.4703,0.4218,1.0,0.3343,387729.07,2025-12-30,7,False
"Will the price of Bitcoin be above $90,000 on December 30?",BTC,90000.0,above,87429.32,0.4703,0.3243,0.0,0.1052,323395.82,2025-12-30,7,False
"Will the price of Bitcoin be above $92,000 on December 30?",BTC,92000.0,above,87429.32,0.4703,0.2457,0.0,0.0604,419688.91,2025-12-30,7,False
"Will the price of Bitcoin be above $94,000 on December 30?",BTC,94000.0,above,87429.32,0.4703,0.1828,0.0,0.0334,262009.43,2025-12-30,7,False
"Will the price of Bitcoin be above $96,000 on December 30?",BTC,96000.0,above,87429.32,0.4703,0.1334,0.0,0.0178,187782.01,2025-12-30,7,False
Will XRP reach $4.00 in August?,XRP,4.0,above,2.86,0.7028,0.0089,0.0,0.0001,682184.29,2025-09-01,7,False
Will XRP reach $3.60 in August?,XRP,3.6,above,2.86,0.7028,0.0438,0.0,0.0019,308679.59,2025-09-01,7,False
Will XRP reach $3.30 in August?,XRP,3.3,above,2.86,0.7028,0.124,1.0,0.7674,41236.46,2025-09-01,7,False
Will XRP reach $3.20 in August?,XRP,3.2,above,2.86,0.7028,0.1698,1.0,0.6892,20791.86,2025-09-01,7,False
Will XRP reach $3.10 in August?,XRP,3.1,above,2.86,0.7028,0.2288,1.0,0.5947,25552.57,2025-09-01,7,False
Will XRP dip to $2.85 in August?,XRP,2.85,below,2.86,0.7028,0.5465,1.0,0.2057,21383.21,2025-09-01,7,False
Will XRP dip to $2.80 in August?,XRP,2.8,below,2.86,0.7028,0.4844,1.0,0.2659,12553.87,2025-09-01,7,False
Will XRP dip to $2.70 in August?,XRP,2.7,below,2.86,0.7028,0.3681,0.0,0.1355,182652.93,2025-09-01,7,False
Will XRP dip to $2.60 in August?,XRP,2.6,below,2.86,0.7028,0.2702,0.0,0.073,66156.96,2025-09-01,7,False
Will XRP dip to $2.50 in August?,XRP,2.5,below,2.86,0.7028,0.1897,0.0,0.036,114540.76,2025-09-01,7,False
Will XRP dip to $2.30 in August?,XRP,2.3,below,2.86,0.7028,0.0781,0.0,0.0061,158290.49,2025-09-01,7,False
Will XRP dip to $2.00 in August?,XRP,2.0,below,2.86,0.7028,0.0108,0.0,0.0001,141935.33,2025-09-01,7,False
Will XRP dip to $1.50 in August?,XRP,1.5,below,2.86,0.7028,0.0,0.0,0.0,202276.56,2025-09-01,7,False
Will XRP reach $5.40 in August?,XRP,5.4,above,2.86,0.7028,0.0,0.0,0.0,312798.63,2025-09-01,7,False
Bitcoin above $114K on August 22?,BTC,114000.0,above,117436.96,0.3349,0.6815,1.0,0.1015,939145.31,2025-08-22,7,True
Bitcoin above $116K on August 22?,BTC,116000.0,above,117436.96,0.3349,0.576,1.0,0.1798,925148.65,2025-08-22,7,True
Bitcoin above $118K on August 22?,BTC,118000.0,above,117436.96,0.3349,0.4528,0.0,0.205,308763.71,2025-08-22,7,False
Bitcoin above $120K on August 22?,BTC,120000.0,above,117436.96,0.3349,0.3454,0.0,0.1193,131445.75,2025-08-22,7,False
Bitcoin above $122K on August 22?,BTC,122000.0,above,117436.96,0.3349,0.2588,0.0,0.067,116305.01,2025-08-22,7,False
Bitcoin above $112K on August 22?,BTC,112000.0,above,117436.96,0.3349,0.7682,1.0,0.0538,359214.94,2025-08-22,7,True
Bitcoin above $110K on August 22?,BTC,110000.0,above,117436.96,0.3349,0.8377,1.0,0.0263,214108.17,2025-08-22,7,True
"Will Bitcoin reach $126,000 September 29-October 5?",BTC,126000.0,above,114365.07,0.3074,0.0645,0.0,0.0042,755937.19,2025-10-06,7,False
"Will Bitcoin reach $124,000 September 29-October 5?",BTC,124000.0,above,114365.07,0.3074,0.0993,1.0,0.8112,560765.8,2025-10-06,7,False
"Will Bitcoin reach $122,000 September 29-October 5?",BTC,122000.0,above,114365.07,0.3074,0.1478,1.0,0.7262,702656.41,2025-10-06,7,False
"Will Bitcoin reach $120,000 September 29-October 5?",BTC,120000.0,above,114365.07,0.3074,0.2131,1.0,0.6192,208187.52,2025-10-06,7,False
"Will Bitcoin reach $118,000 September 29-October 5?",BTC,118000.0,above,114365.07,0.3074,0.2982,1.0,0.4925,227268.79,2025-10-06,7,False
"Will Bitcoin reach $116,000 September 29-October 5?",BTC,116000.0,above,114365.07,0.3074,0.4069,1.0,0.3517,114253.12,2025-10-06,7,False
"Will Bitcoin reach $114,000 September 29-October 5?",BTC,114000.0,above,114365.07,0.3074,0.5421,1.0,0.2097,7521.25,2025-10-06,7,True
"Will Bitcoin dip to $110,000 September 29-October 5?",BTC,110000.0,below,114365.07,0.3074,0.2366,0.0,0.056,150328.49,2025-10-06,7,False
"Will Bitcoin dip to $108,000 September 29-October 5?",BTC,108000.0,below,114365.07,0.3074,0.1593,0.0,0.0254,96144.14,2025-10-06,7,False
"Will Bitcoin dip to $106,000 September 29-October 5?",BTC,106000.0,below,114365.07,0.3074,0.1014,0.0,0.0103,103631.0,2025-10-06,7,False
"Will Bitcoin dip to $104,000 September 29-October 5?",BTC,104000.0,below,114365.07,0.3074,0.0605,0.0,0.0037,26973.62,2025-10-06,7,False
"Will Bitcoin dip to $102,000 September 29-October 5?",BTC,102000.0,below,114365.07,0.3074,0.0336,0.0,0.0011,8841.71,2025-10-06,7,False
"Will Bitcoin dip to $100,000 September 29-October 5?",BTC,100000.0,below,114365.07,0.3074,0.0172,0.0,0.0003,3879.35,2025-10-06,7,False
"Will Bitcoin dip to $98,000 September 29-October 5?",BTC,98000.0,below,114365.07,0.3074,0.0081,0.0,0.0001,4427.07,2025-10-06,7,False
